"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,1.61976117364509,0.91,2.47
3,3.56733345638051,0.25,8.67,1.60976117384787,0.92,2.42
4,2.30966962837873,0.14,6.68,1.60264846209171,0.94,2.38
5,1.52385444648354,0.1,4.52,1.59911420506108,0.96,2.35
6,1.13969781088773,0.08,3.36,1.59968041374465,0.98,2.32
7,2.71337496891955,0.74,5.68,1.60406670105594,1.01,2.29
8,2.16084735759906,0.59,4.54,1.59292562642346,1.02,2.25
9,1.58781090509145,0.43,3.34,1.58617438555398,1.04,2.22
10,1.62431098083848,0.55,3.16,1.58714738891146,1.06,2.19
11,1.31661796608834,0.44,2.57,1.58759132006018,1.08,2.16
12,1.97475920300627,0.92,3.35,1.59675720097146,1.12,2.14
13,2.41715003637441,1.3,3.81,1.58561646703204,1.13,2.1
14,2.54670125191707,1.49,3.83,1.5546578728934,1.12,2.04
15,1.93210070249077,1.1,2.94,1.50929357060247,1.1,1.97
16,1.46619303980614,0.81,2.26,1.48627588355067,1.1,1.92
17,2.31562961698794,1.55,3.2,1.48976731338152,1.12,1.9
18,2.49527915219118,1.74,3.36,1.41992548366124,1.08,1.8
19,2.49205361133749,1.79,3.28,1.31752042359773,1,1.67
20,1.88337818479574,1.32,2.51,1.18707241077654,0.89,1.52
21,1.55008859069698,1.08,2.08,1.09718056380861,0.82,1.41
22,1.34704578787196,0.93,1.82,1.02995949228218,0.76,1.33
23,1.07090222299153,0.7,1.49,0.979165144625201,0.71,1.27
24,0.932691944229548,0.59,1.33,0.96656009468541,0.7,1.26
25,0.960045529251614,0.62,1.36,0.976728364815746,0.71,1.27
26,0.95521409605667,0.61,1.36,0.983907921277317,0.71,1.28
27,1.01597024983062,0.65,1.43,0.993083588076004,0.72,1.3
28,1.12559259047874,0.74,1.57,0.993070793385973,0.72,1.3
29,0.979530883949788,0.62,1.4,0.974305854377108,0.7,1.28
30,0.901226586408851,0.55,1.31,0.977264822733192,0.7,1.28
31,1.0245018834787,0.66,1.45,0.993745797852261,0.72,1.3
32,1.02783731950731,0.65,1.46,0.992452406055922,0.72,1.3
33,1.14143764991957,0.75,1.59,0.990378635759731,0.72,1.29
34,1.22008519830185,0.82,1.68,0.969342488950738,0.7,1.27
35,1.14595116269503,0.76,1.59,0.931986767747434,0.67,1.23
36,0.95181230828535,0.6,1.36,0.900566660447306,0.64,1.2
37,0.854912252925055,0.52,1.25,0.896006419493504,0.63,1.19
38,0.912630083347326,0.57,1.31,0.907240104718486,0.64,1.21
39,0.865643088972381,0.53,1.26,0.910780246131376,0.64,1.22
40,0.765751160257786,0.44,1.15,0.922808410468972,0.64,1.24
41,0.872106608913995,0.53,1.28,0.952726924568759,0.67,1.27
42,0.788254712467761,0.45,1.19,0.970376250088972,0.68,1.3
43,0.846729712947057,0.5,1.26,1.00308887600166,0.7,1.34
44,0.76841354400078,0.43,1.18,1.03147793655014,0.73,1.37
45,0.908832776819494,0.54,1.35,1.07460815467369,0.76,1.42
46,0.897449015263511,0.52,1.34,1.10338747906822,0.79,1.45
47,0.948299394023818,0.56,1.4,1.13718686472964,0.82,1.49
48,0.916301074850157,0.54,1.37,1.16845407731228,0.85,1.53
49,0.806816400675287,0.45,1.24,1.20859384638335,0.88,1.57
50,0.918508036901373,0.54,1.36,1.27004202689429,0.94,1.63
51,0.877648352054251,0.51,1.31,1.32629984261967,1,1.69
52,0.836324099834137,0.48,1.26,1.39736982681067,1.07,1.76
53,0.865668477457225,0.51,1.29,1.48636211399132,1.15,1.85
54,0.950824688315741,0.58,1.39,1.58664272569643,1.25,1.95
55,1.54408564106873,1.08,2.06,1.69203626704299,1.36,2.05
56,1.60304589019842,1.15,2.12,1.72056552434743,1.41,2.06
57,2.31700302628866,1.8,2.88,1.7446094171215,1.45,2.06
58,1.95731592763367,1.52,2.44,1.62675414629334,1.35,1.92
59,2.07857979006207,1.67,2.52,1.5496521670363,1.3,1.82
60,1.84173236988427,1.48,2.23,1.39546506949875,1.17,1.64
61,1.56722361774796,1.26,1.9,1.24357998668469,1.04,1.46
62,1.18693990409997,0.93,1.46,1.11732711933066,0.93,1.32
63,1.11143016005584,0.88,1.37,1.08932445629728,0.91,1.28
64,1.30115505135612,1.05,1.57,1.08177810136353,0.91,1.27
65,1.20830045404607,0.97,1.47,0.972560531413909,0.81,1.15
66,1.14591526778307,0.92,1.39,0.853115990487999,0.7,1.02
67,0.828735000063118,0.64,1.03,0.7005469614484,0.55,0.86
68,0.63426806339329,0.48,0.81,0.63426806339329,0.48,0.81
