"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,0.697515871283295,0.32,1.17
3,2.47036294784653,0.15,7.07,0.687517020659405,0.33,1.14
4,1.03277721279588,0.07,3.06,0.680065649805147,0.34,1.1
5,0.577748844999377,0.05,1.69,0.676822013952378,0.35,1.08
6,0.382887188708312,0.04,1.1,0.679071302303816,0.37,1.06
7,0.528610630684093,0.1,1.24,0.68815013551492,0.39,1.04
8,0.430961560587687,0.09,1.01,0.695507693854061,0.41,1.03
9,0.368237874219214,0.07,0.86,0.709188108775638,0.44,1.03
10,0.613276630783646,0.21,1.19,0.729178441186134,0.47,1.03
11,0.727497318419433,0.31,1.28,0.738452419644629,0.5,1.01
12,0.881954665623208,0.47,1.39,0.741359393818222,0.52,0.99
13,0.793323999602641,0.45,1.21,0.728526826352801,0.52,0.96
14,0.78821744318644,0.49,1.14,0.721484774020469,0.53,0.93
15,0.916543337111853,0.62,1.25,0.711155937533823,0.54,0.9
16,1.04356714702166,0.76,1.36,0.664195829522488,0.51,0.84
17,0.741625140064321,0.52,0.99,0.555192799790537,0.42,0.7
18,0.537828699908884,0.37,0.73,0.491193830108161,0.37,0.62
19,0.539594310586669,0.39,0.71,0.473408032975526,0.36,0.59
20,0.536589676951476,0.39,0.7,0.441142115966716,0.34,0.55
21,0.398591587222255,0.28,0.53,0.385494204408572,0.3,0.48
22,0.463407344198053,0.35,0.59,0.3792979937275,0.3,0.47
23,0.390629706239527,0.29,0.5,0.31316785720439,0.24,0.39
24,0.262622089476939,0.18,0.35,0.246268266418097,0.18,0.32
25,0.260270866868416,0.18,0.35,0.233409236609728,0.17,0.3
26,0.245593223059812,0.17,0.33,0.20821179235656,0.15,0.27
27,0.173896790792599,0.11,0.24,0.170360362292579,0.12,0.23
28,0.142078117950306,0.09,0.21,0.169738776417734,0.12,0.23
29,0.191196153352275,0.13,0.27,0.203884840216206,0.15,0.27
30,0.197853855809384,0.13,0.28,0.220584019566029,0.16,0.29
31,0.250980629036297,0.17,0.34,0.246232355908748,0.18,0.32
32,0.253022799862833,0.17,0.35,0.24528920709438,0.18,0.32
33,0.285652937460499,0.2,0.39,0.241875401049602,0.18,0.32
34,0.241402466575385,0.16,0.34,0.208399564491677,0.15,0.28
35,0.172509037049235,0.1,0.26,0.185685468795451,0.12,0.26
36,0.168433493911633,0.1,0.26,0.199552378204365,0.13,0.28
37,0.147264594373245,0.08,0.23,0.225916294804885,0.15,0.31
38,0.246426090810848,0.15,0.36,0.281701822876227,0.2,0.38
39,0.278732726128415,0.17,0.41,0.306922026304029,0.21,0.41
40,0.334121919268933,0.21,0.48,0.326075732579193,0.22,0.44
41,0.317782807541993,0.19,0.47,0.326504351316035,0.22,0.45
42,0.403234432004986,0.26,0.57,0.334947840163154,0.22,0.47
43,0.356685086823998,0.22,0.52,0.312659230822231,0.19,0.45
44,0.303450913594488,0.17,0.46,0.303450913594488,0.17,0.46
