"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,1.30974293751472,0.76,1.95
3,2.08462782774743,0.12,6.14,1.29974293758875,0.78,1.91
4,1.03801781085677,0.07,3.08,1.29573134254221,0.8,1.87
5,0.71265634054942,0.05,2.09,1.29844539193257,0.83,1.84
6,0.554621610491933,0.05,1.61,1.30725508642565,0.86,1.82
7,1.20085614469915,0.33,2.52,1.32199154993169,0.9,1.8
8,1.48808041553654,0.58,2.73,1.3259165922735,0.93,1.77
9,1.47978689159901,0.69,2.51,1.32188193907126,0.95,1.73
10,1.62765019980473,0.9,2.52,1.31619459114424,0.98,1.7
11,2.38466329431529,1.6,3.29,1.29787007135958,0.98,1.64
12,1.90057512985981,1.29,2.6,1.20425772623623,0.92,1.52
13,1.47399203810999,1.01,2.01,1.12672692649589,0.87,1.41
14,1.08744335245413,0.74,1.49,1.07527055025182,0.84,1.33
15,0.970672740640178,0.67,1.31,1.07545384310416,0.85,1.32
16,1.06013634751239,0.77,1.39,1.1046042387418,0.89,1.33
17,1.22036419886037,0.93,1.54,1.12057171779415,0.92,1.34
18,1.00343586547278,0.76,1.28,1.08934828528089,0.9,1.29
19,0.93464587880035,0.72,1.17,1.12706699340287,0.95,1.32
20,1.16001745423892,0.94,1.4,1.22523839121196,1.05,1.41
21,1.42076767322674,1.19,1.67,1.26683454963673,1.1,1.45
22,1.32641092748194,1.12,1.55,1.16666313161524,1.01,1.33
23,1.19156248697,1.01,1.39,1.04789886758231,0.91,1.19
24,1.08050363540722,0.91,1.26,0.923722293964747,0.8,1.06
25,0.760032162107202,0.63,0.9,0.770566391529706,0.66,0.89
26,0.862487085027487,0.72,1.01,0.78503135715981,0.68,0.9
27,0.731143718419193,0.61,0.87,0.701019681446176,0.6,0.81
28,0.724302696279028,0.6,0.86,0.669007629226442,0.57,0.77
29,0.666777401888164,0.55,0.79,0.603993525200526,0.51,0.7
30,0.555676684375179,0.45,0.67,0.526975154156703,0.44,0.62
31,0.497707236695802,0.4,0.61,0.493334399136127,0.41,0.58
32,0.552319433399941,0.45,0.67,0.491128875152508,0.41,0.58
33,0.378600266938213,0.29,0.48,0.419845329666943,0.34,0.51
34,0.46425572468124,0.36,0.58,0.471700301808145,0.39,0.56
35,0.43408001930413,0.33,0.55,0.483323405132105,0.39,0.58
36,0.579097640617135,0.46,0.72,0.536782734321594,0.44,0.64
37,0.536415022619957,0.41,0.67,0.501628492369629,0.4,0.61
38,0.472052367140173,0.35,0.61,0.476093433087137,0.38,0.59
39,0.415042165412083,0.3,0.55,0.482939798987154,0.38,0.6
40,0.774820431538363,0.61,0.96,0.53635208146208,0.42,0.66
41,0.52904978836603,0.38,0.69,0.394412054875127,0.29,0.51
42,0.383716117241024,0.26,0.53,0.325475590424562,0.22,0.44
43,0.301506405058969,0.19,0.44,0.301506405058969,0.19,0.44
