day,cases,Rt
1,12.0,2.5
2,13.0,2.5
3,12.0,2.5
4,9.0,2.5
5,11.0,2.5
6,15.0,2.5
7,9.0,2.5
8,11.0,2.5
9,21.0,2.5
10,22.0,2.5
11,18.0,2.5
12,18.0,2.5
13,14.0,2.5
14,17.0,2.5
15,19.0,2.5
16,24.0,2.5
17,28.0,2.5
18,27.0,2.5
19,34.0,2.5
20,24.0,2.5
21,41.0,2.5
22,36.0,2.5
23,36.0,2.5
24,41.0,2.5
25,40.0,2.5
26,44.0,2.5
27,44.0,2.5
28,59.0,2.5
29,62.0,2.5
30,55.0,2.5
31,60.0,2.5
32,68.0,2.5
33,66.0,2.5
34,87.0,2.5
35,79.0,2.5
36,97.0,2.5
37,97.0,2.5
38,105.0,2.5
39,108.0,2.5
40,111.0,2.5
41,160.0,2.5
42,126.0,2.5
43,150.0,2.5
44,141.0,2.5
45,168.0,2.5
46,160.0,2.5
47,199.0,2.5
48,218.0,2.5
49,227.0,2.5
50,232.0,2.5
51,44.0,0.5
52,51.0,0.5
53,58.0,0.5
54,61.0,0.5
55,62.0,0.5
56,62.0,0.5
57,55.0,0.5
58,50.0,0.5
59,56.0,0.5
60,47.0,0.5
61,51.0,0.5
62,56.0,0.5
63,38.0,0.5
64,56.0,0.5
65,61.0,0.5
66,54.0,0.5
67,54.0,0.5
68,40.0,0.5
69,33.0,0.5
70,39.0,0.5
71,27.0,0.5
72,24.0,0.5
73,41.0,0.5
74,44.0,0.5
75,36.0,0.5
76,32.0,0.5
77,30.0,0.5
78,30.0,0.5
79,16.0,0.5
80,27.0,0.5
81,31.0,0.5
82,23.0,0.5
83,28.0,0.5
84,22.0,0.5
85,22.0,0.5
86,31.0,0.5
87,23.0,0.5
88,16.0,0.5
89,27.0,0.5
90,26.0,0.5
91,18.0,0.5
92,13.0,0.5
93,16.0,0.5
94,24.0,0.5
95,10.0,0.5
96,19.0,0.5
97,15.0,0.5
98,18.0,0.5
99,5.0,0.5
100,12.0,0.5
101,17.0,0.5
102,14.0,0.5
103,10.0,0.5
104,12.0,0.5
105,17.0,0.5
106,9.0,0.5
107,9.0,0.5
108,11.0,0.5
109,7.0,0.5
110,9.0,0.5
111,15.0,0.5
112,10.0,0.5
113,4.0,0.5
114,11.0,0.5
115,8.0,0.5
116,2.0,0.5
117,3.0,0.5
118,4.0,0.5
119,5.0,0.5
120,7.0,0.5
121,5.0,0.5
122,6.0,0.5
123,4.0,0.5
124,6.0,0.5
125,4.0,0.5
126,3.0,0.5
127,3.0,0.5
128,5.0,0.5
129,2.0,0.5
130,2.0,0.5
131,4.0,0.5
132,4.0,0.5
133,3.0,0.5
134,5.0,0.5
135,4.0,0.5
136,4.0,0.5
137,4.0,0.5
138,3.0,0.5
139,4.0,0.5
140,2.0,0.5
141,2.0,0.5
142,4.0,0.5
143,1.0,0.5
144,4.0,0.5
145,1.0,0.5
146,3.0,0.5
147,2.0,0.5
148,4.0,0.5
149,3.0,0.5
150,2.0,0.5
151,3.0,0.5
152,3.0,0.5
153,3.0,0.5
154,0.0,0.5
155,2.0,0.5
156,1.0,0.5
157,4.0,0.5
158,1.0,0.5
159,3.0,0.5
160,1.0,0.5
161,2.0,0.5
162,1.0,0.5
163,1.0,0.5
164,0.0,0.5
165,2.0,0.5
166,1.0,0.5
167,0.0,0.5
168,0.0,0.5
169,3.0,0.5
170,0.0,0.5
171,1.0,0.5
172,0.0,0.5
173,0.0,0.5
174,1.0,0.5
175,0.0,0.5
176,1.0,0.5
177,2.0,0.5
178,0.0,0.5
179,0.0,0.5
180,0.0,0.5
181,0.0,0.5
182,0.0,0.5
183,0.0,0.5
184,0.0,0.5
185,1.0,0.5
186,0.0,0.5
187,0.0,0.5
188,1.0,0.5
189,0.0,0.5
190,1.0,0.5
191,0.0,0.5
192,0.0,0.5
193,0.0,0.5
194,0.0,0.5
195,0.0,0.5
196,0.0,0.5
197,0.0,0.5
198,0.0,0.5
199,0.0,0.5
200,0.0,0.5
201,0.0,0.5
202,1.0,0.5
203,0.0,0.5
204,0.0,0.5
205,0.0,0.5
206,0.0,0.5
207,0.0,0.5
208,0.0,0.5
209,0.0,0.5
210,0.0,0.5
211,2.0,0.5
212,0.0,0.5
213,0.0,0.5
214,0.0,0.5
215,0.0,0.5
216,1.0,0.5
217,1.0,0.5
218,0.0,0.5
219,0.0,0.5
220,0.0,0.5
221,0.0,0.5
222,0.0,0.5
223,0.0,0.5
224,0.0,0.5
225,0.0,0.5
226,0.0,2.5
227,0.0,2.5
228,0.0,2.5
229,0.0,2.5
230,2.0,2.5
231,1.0,2.5
232,1.0,2.5
233,0.0,2.5
234,0.0,2.5
235,1.0,2.5
236,0.0,2.5
237,1.0,2.5
238,1.0,2.5
239,0.0,2.5
240,0.0,2.5
241,0.0,2.5
242,1.0,2.5
243,1.0,2.5
244,1.0,2.5
245,0.0,2.5
246,1.0,2.5
247,1.0,2.5
248,2.0,2.5
249,0.0,2.5
250,0.0,2.5
251,2.0,2.5
252,1.0,2.5
253,2.0,2.5
254,2.0,2.5
255,1.0,2.5
256,1.0,2.5
257,1.0,2.5
258,0.0,2.5
259,2.0,2.5
260,2.0,2.5
261,2.0,2.5
262,3.0,2.5
263,2.0,2.5
264,4.0,2.5
265,2.0,2.5
266,3.0,2.5
267,4.0,2.5
268,3.0,2.5
269,2.0,2.5
270,0.0,2.5
271,2.0,2.5
272,3.0,2.5
273,7.0,2.5
274,4.0,2.5
275,6.0,2.5
276,3.0,2.5
277,6.0,2.5
278,7.0,2.5
279,8.0,2.5
280,6.0,2.5
281,7.0,2.5
282,15.0,2.5
283,7.0,2.5
284,9.0,2.5
285,7.0,2.5
286,13.0,2.5
287,4.0,2.5
288,11.0,2.5
289,12.0,2.5
290,15.0,2.5
291,11.0,2.5
292,13.0,2.5
293,20.0,2.5
294,20.0,2.5
295,15.0,2.5
296,16.0,2.5
297,16.0,2.5
298,21.0,2.5
299,11.0,2.5
300,16.0,2.5
