day,cases,Rt
1,0.0,1.3
2,9.0,1.3
3,0.0,1.3
4,8.0,1.3
5,3.0,1.3
6,5.0,1.3
7,4.0,1.3
8,0.0,1.3
9,0.0,1.3
10,7.0,1.3
11,0.0,1.3
12,0.0,1.3
13,0.0,1.3
14,0.0,1.3
15,10.0,1.3
16,1.0,1.3
17,4.0,1.3
18,0.0,1.3
19,2.0,1.3
20,3.0,1.3
21,4.0,1.3
22,0.0,1.3
23,6.0,1.3
24,12.0,1.3
25,0.0,1.3
26,3.0,1.3
27,18.0,1.3
28,11.0,1.3
29,0.0,1.3
30,0.0,1.3
31,2.0,1.3
32,65.0,1.3
33,9.0,1.3
34,0.0,1.3
35,19.0,1.3
36,6.0,1.3
37,2.0,1.3
38,23.0,1.3
39,3.0,1.3
40,0.0,1.3
41,0.0,1.3
42,31.0,1.3
43,0.0,1.3
44,1.0,1.3
45,12.0,1.3
46,24.0,1.3
47,5.0,1.3
48,15.0,1.3
49,3.0,1.3
50,1.0,1.3
51,9.0,0.8
52,4.0,0.8
53,0.0,0.8
54,0.0,0.8
55,0.0,0.8
56,9.0,0.8
57,2.0,0.8
58,3.0,0.8
59,0.0,0.8
60,6.0,0.8
61,0.0,0.8
62,6.0,0.8
63,3.0,0.8
64,3.0,0.8
65,1.0,0.8
66,1.0,0.8
67,0.0,0.8
68,1.0,0.8
69,1.0,0.8
70,6.0,0.8
71,2.0,0.8
72,0.0,0.8
73,3.0,0.8
74,0.0,0.8
75,3.0,0.8
76,2.0,0.8
77,0.0,0.8
78,0.0,0.8
79,0.0,0.8
80,0.0,0.8
81,0.0,0.8
82,0.0,0.8
83,1.0,0.8
84,0.0,0.8
85,0.0,0.8
86,0.0,0.8
87,0.0,0.8
88,0.0,0.8
89,0.0,0.8
90,0.0,0.8
91,0.0,0.8
92,0.0,0.8
93,0.0,0.8
94,0.0,0.8
95,0.0,0.8
96,0.0,0.8
97,0.0,0.8
98,0.0,0.8
99,0.0,0.8
100,0.0,0.8
