day,cases,Rt
1,1.0,1.3
2,9.0,1.3
3,2.0,1.3
4,9.0,1.3
5,6.0,1.3
6,15.0,1.3
7,0.0,1.3
8,1.0,1.3
9,4.0,1.3
10,7.0,1.3
11,2.0,1.3
12,0.0,1.3
13,2.0,1.3
14,6.0,1.3
15,0.0,1.3
16,4.0,1.3
17,7.0,1.3
18,2.0,1.3
19,6.0,1.3
20,3.0,1.3
21,4.0,1.3
22,14.0,1.3
23,16.0,1.3
24,1.0,1.3
25,5.0,1.3
26,4.0,1.3
27,40.0,1.3
28,5.0,1.3
29,13.0,1.3
30,9.0,1.3
31,10.0,1.3
32,11.0,1.3
33,0.0,1.3
34,18.0,1.3
35,8.0,1.3
36,11.0,1.3
37,7.0,1.3
38,40.0,1.3
39,21.0,1.3
40,9.0,1.3
41,4.0,1.3
42,12.0,1.3
43,75.0,1.3
44,62.0,1.3
45,29.0,1.3
46,10.0,1.3
47,47.0,1.3
48,20.0,1.3
49,0.0,1.3
50,27.0,1.3
51,1.0,0.8
52,31.0,0.8
53,15.0,0.8
54,26.0,0.8
55,18.0,0.8
56,31.0,0.8
57,19.0,0.8
58,17.0,0.8
59,7.0,0.8
60,3.0,0.8
61,25.0,0.8
62,16.0,0.8
63,15.0,0.8
64,2.0,0.8
65,11.0,0.8
66,3.0,0.8
67,0.0,0.8
68,0.0,0.8
69,5.0,0.8
70,4.0,0.8
71,0.0,0.8
72,0.0,0.8
73,1.0,0.8
74,1.0,0.8
75,4.0,0.8
76,4.0,0.8
77,3.0,0.8
78,3.0,0.8
79,2.0,0.8
80,6.0,0.8
81,0.0,0.8
82,1.0,0.8
83,3.0,0.8
84,2.0,0.8
85,0.0,0.8
86,3.0,0.8
87,2.0,0.8
88,4.0,0.8
89,1.0,0.8
90,0.0,0.8
91,1.0,0.8
92,7.0,0.8
93,4.0,0.8
94,0.0,0.8
95,2.0,0.8
96,3.0,0.8
97,4.0,0.8
98,1.0,0.8
99,0.0,0.8
100,4.0,0.8
