"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,2.45710094910378,1.92,3.05
3,2.33893688966318,1.35,3.55,2.44710094910378,1.96,2.97
4,2.21194865731883,1.5,3.03,2.45417464743361,2.01,2.93
5,2.07549519497328,1.5,2.73,2.48113516966131,2.07,2.92
6,2.57163949044547,2,3.21,2.54356618180897,2.15,2.96
7,2.37935538186723,1.86,2.95,2.54158139379482,2.16,2.94
8,2.67495484494076,2.15,3.24,2.58014619927893,2.21,2.97
9,2.64975074270381,2.15,3.19,2.56043641574335,2.2,2.94
10,2.69717879512063,2.21,3.22,2.54043337450442,2.19,2.91
11,2.51451031163686,2.05,3.01,2.50019549266373,2.16,2.86
12,2.46917778801681,2.02,2.95,2.49943348870427,2.16,2.85
13,2.42344695621325,1.99,2.89,2.51217577943764,2.18,2.86
14,2.5842874076826,2.15,3.05,2.54430637353042,2.22,2.89
15,2.59425642958293,2.17,3.05,2.53415842269168,2.22,2.87
16,2.55387582541759,2.14,3,2.51633652784342,2.2,2.84
17,2.60746262546441,2.19,3.05,2.50597011602245,2.2,2.83
18,2.56715154318982,2.16,3,2.47052184189578,2.17,2.78
19,2.5116349387208,2.12,2.93,2.43550659381277,2.14,2.74
20,2.37567973775377,2,2.77,2.40742117342982,2.12,2.71
21,2.39213958181947,2.03,2.78,2.42451321995729,2.14,2.72
22,2.47981847950775,2.11,2.87,2.44255893982641,2.16,2.73
23,2.46358810238027,2.11,2.84,2.42840810710242,2.16,2.71
24,2.26241056773813,1.93,2.62,2.4146015563628,2.15,2.7
25,2.37110052335093,2.03,2.73,2.49533770766398,2.23,2.78
26,2.72769100961535,2.37,3.1,2.5649739990838,2.3,2.84
27,2.36180120976314,2.04,2.71,2.47795779865095,2.22,2.75
28,2.45568544342027,2.13,2.8,2.54760500334328,2.29,2.82
29,2.62641709946239,2.3,2.97,2.60593912225157,2.35,2.87
30,2.72112797151103,2.39,3.07,2.59652656377162,2.34,2.86
31,2.55483298415359,2.24,2.88,2.51915737588686,2.28,2.77
32,2.63122619838352,2.32,2.96,2.49849845493335,2.26,2.75
33,2.41956399555312,2.13,2.73,2.40848675223112,2.18,2.65
34,2.4028613072824,2.12,2.7,2.40366850888178,2.18,2.64
35,2.32232648483918,2.05,2.61,2.40758974429808,2.19,2.64
36,2.39040779981224,2.12,2.67,2.47947353790668,2.26,2.71
37,2.55998152031341,2.29,2.85,2.55774903745732,2.34,2.79
38,2.52574106947368,2.26,2.8,2.55906685199096,2.34,2.78
39,2.68282540185407,2.41,2.96,2.59283875022391,2.38,2.82
40,2.51224009520226,2.26,2.78,2.51007451428471,2.3,2.73
41,2.61651965072919,2.36,2.88,2.51116082153985,2.31,2.72
42,2.42749038733391,2.19,2.68,2.40434787300598,2.21,2.61
43,2.26577635962791,2.04,2.5,2.38228016364789,2.19,2.58
44,2.50648343314145,2.27,2.75,2.51854051578165,2.33,2.72
45,2.53667176367493,2.31,2.78,2.53617436917832,2.35,2.73
46,2.62670261518255,2.4,2.86,2.53875948355624,2.35,2.73
47,2.5449838398279,2.33,2.77,2.42629937834727,2.25,2.61
48,2.53377224887854,2.32,2.76,2.26540900431058,2.09,2.44
49,2.38391763813682,2.18,2.59,1.87552895972118,1.72,2.03
50,1.25493112927498,1.12,1.4,1.04397708125868,0.93,1.16
51,0.753181450465635,0.65,0.86,0.678302830891964,0.59,0.77
52,0.548357536278795,0.46,0.64,0.547911113765671,0.47,0.63
53,0.570704442044626,0.48,0.67,0.550347635017049,0.47,0.63
54,0.530436801246655,0.45,0.62,0.516748350761463,0.44,0.59
55,0.468526667344554,0.39,0.55,0.494621625946914,0.42,0.57
56,0.558448983436826,0.47,0.65,0.546079590207578,0.47,0.63
57,0.515872159001982,0.43,0.61,0.526392918183268,0.45,0.6
58,0.558939351066313,0.47,0.65,0.549141834378882,0.47,0.63
59,0.542026288435527,0.46,0.63,0.534335520082135,0.46,0.61
60,0.526703895736386,0.44,0.62,0.52350244677991,0.45,0.6
61,0.557807852605259,0.47,0.65,0.52098175566577,0.45,0.6
62,0.44121153766244,0.36,0.53,0.458541660796041,0.39,0.53
63,0.505072586290101,0.42,0.6,0.492022864039421,0.42,0.57
64,0.448971258102978,0.37,0.54,0.47322650298757,0.4,0.55
65,0.492110345735514,0.41,0.59,0.516539368275037,0.44,0.6
66,0.577298720546295,0.48,0.68,0.558796674496999,0.48,0.64
67,0.54587920561307,0.45,0.65,0.533044925063344,0.45,0.62
68,0.491899262728278,0.4,0.59,0.516505226638183,0.44,0.6
69,0.576261446613096,0.48,0.68,0.556628974776031,0.47,0.65
70,0.560811506852038,0.46,0.67,0.531368012846698,0.45,0.62
71,0.508609385334386,0.41,0.61,0.492571421507597,0.41,0.58
72,0.459584384684664,0.37,0.56,0.473475466302224,0.4,0.56
73,0.492855305873093,0.4,0.6,0.495594129912972,0.41,0.58
74,0.533615720938208,0.43,0.64,0.502490019281578,0.42,0.59
