"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,1.1232098090207,0.74,1.56
3,2.61324653168494,1.36,4.19,1.11320980902075,0.77,1.5
4,1.68441346756329,0.96,2.57,1.06380029034053,0.75,1.42
5,1.52751460632645,0.96,2.2,1.02407972338951,0.73,1.35
6,1.35983338030111,0.88,1.92,0.97604231468189,0.7,1.29
7,1.00283891439717,0.62,1.45,0.929543848217311,0.66,1.23
8,0.772501422282931,0.45,1.15,0.922021914367596,0.66,1.22
9,1.02029902750873,0.67,1.43,0.951053051647369,0.69,1.25
10,0.871739194652027,0.54,1.26,0.942792831803278,0.67,1.24
11,0.741404568102227,0.44,1.1,0.959960673537896,0.69,1.26
12,0.638297608842223,0.35,0.98,1.00362683497355,0.72,1.32
13,0.567575638191379,0.29,0.9,1.07322561118372,0.78,1.4
14,1.12273431792895,0.74,1.56,1.1652253841578,0.87,1.5
15,1.09367945099215,0.7,1.54,1.17706338510259,0.87,1.51
16,1.19153326641058,0.79,1.66,1.19472955701607,0.89,1.53
17,1.00131120021882,0.63,1.43,1.19919586504643,0.9,1.53
18,0.956010291917898,0.6,1.37,1.23641959648316,0.93,1.57
19,0.994165766647689,0.63,1.41,1.28934916577717,0.98,1.63
20,1.09878005517403,0.72,1.54,1.34585913938603,1.03,1.69
21,0.954359275759688,0.6,1.37,1.39391798345376,1.08,1.74
22,1.17130207762984,0.78,1.62,1.47450290404848,1.16,1.82
23,1.67710770146981,1.22,2.19,1.53283358298346,1.21,1.88
24,1.39990548145587,0.98,1.88,1.50966279020116,1.2,1.85
25,1.25345640271116,0.86,1.69,1.53309212423859,1.23,1.86
26,1.83586025226177,1.39,2.33,1.59155919312766,1.29,1.91
27,1.94023363101489,1.49,2.44,1.54161339547075,1.25,1.85
28,1.44005020868724,1.06,1.86,1.45513906306505,1.18,1.75
29,1.02593272124101,0.72,1.38,1.46192046477921,1.19,1.75
30,0.838745489625321,0.56,1.15,1.57917301756497,1.31,1.87
31,2.90267481296621,2.42,3.42,1.78708585834758,1.52,2.08
32,2.53121934562614,2.07,3.02,1.46346310104619,1.22,1.72
33,1.56643400047051,1.23,1.93,1.16499287140323,0.96,1.39
34,1.39852848424365,1.11,1.71,1.03582111696829,0.85,1.24
35,1.04341599637746,0.8,1.31,0.895102977798115,0.72,1.08
36,0.751120828186126,0.55,0.98,0.83601409141281,0.67,1.02
37,1.0663814654426,0.82,1.33,0.876196473724925,0.7,1.06
38,0.857328405820064,0.63,1.11,0.798393883352184,0.63,0.99
39,0.619011498952496,0.42,0.84,0.778554438212408,0.61,0.97
40,0.453541656696288,0.28,0.65,0.84531792418064,0.66,1.04
41,1.1831890152295,0.91,1.48,1.00056944163378,0.8,1.21
42,0.942207065581407,0.69,1.23,0.934716090844824,0.74,1.15
43,0.729527988126739,0.5,0.99,0.935851779289577,0.74,1.15
44,0.890435929591487,0.65,1.17,1.0097683713227,0.81,1.23
45,1.37209786799838,1.07,1.71,1.05592147931761,0.85,1.27
46,1.1860199601064,0.9,1.51,0.949080851713818,0.76,1.16
47,1.26882431588712,0.98,1.59,0.873275519284682,0.69,1.07
48,0.976615058673771,0.72,1.26,0.74201000452853,0.57,0.93
49,0.715840075278419,0.5,0.96,0.664680792867741,0.5,0.84
50,0.77494046403608,0.55,1.03,0.65037195232253,0.49,0.83
51,0.714438335089499,0.5,0.96,0.61035586338119,0.45,0.79
52,0.562468554351525,0.36,0.8,0.579943293447743,0.41,0.77
53,0.450530359277102,0.27,0.67,0.589940597385198,0.42,0.78
54,0.375086065665764,0.2,0.59,0.63658474775169,0.45,0.84
55,0.671892266797717,0.44,0.95,0.715547416629057,0.52,0.94
56,0.681342763430904,0.43,0.97,0.732344031004015,0.53,0.96
57,0.724213087450528,0.46,1.03,0.749399610081186,0.54,0.99
58,0.620350971228336,0.37,0.92,0.759598250428275,0.54,1
59,0.810957485077829,0.52,1.14,0.794549606673812,0.57,1.04
60,0.705675154244046,0.43,1.03,0.795237261999575,0.57,1.05
61,0.904316694278899,0.59,1.27,0.817901402836442,0.59,1.08
62,0.933148840644815,0.61,1.31,0.804238655606586,0.57,1.06
63,0.947830660537343,0.62,1.33,0.782821432083599,0.55,1.04
64,0.852022856938919,0.54,1.22,0.755132395482633,0.52,1.02
65,0.773584282740664,0.47,1.13,0.74100848363945,0.51,1
66,0.666981843711905,0.38,1,0.73926698958217,0.5,1.01
67,0.64719767846118,0.36,0.99,0.75681457041639,0.52,1.03
68,0.648755135118804,0.36,1,0.780640671453146,0.53,1.06
69,0.962751666403328,0.61,1.38,0.807260579281926,0.56,1.09
70,1.00829394669031,0.64,1.44,0.78586267958436,0.53,1.07
71,0.892443589456013,0.54,1.31,0.755670026281111,0.5,1.04
72,0.96530049326554,0.6,1.4,0.739338050752052,0.49,1.03
73,0.84680417647923,0.5,1.26,0.709896073177037,0.46,1
74,0.942517882635515,0.58,1.37,0.694352337383095,0.44,0.99
75,0.97262164203335,0.6,1.41,0.663553581878483,0.41,0.96
76,0.866563939630546,0.51,1.29,0.626551263672389,0.37,0.93
77,0.769598642677886,0.43,1.18,0.600723546168189,0.34,0.91
78,0.694633023723533,0.36,1.09,0.58533677402998,0.32,0.91
79,0.643513907291268,0.32,1.04,0.578486712938883,0.3,0.92
80,0.611078111732481,0.29,1.01,0.577849469089048,0.29,0.93
81,0.59161807522985,0.26,1,0.581439571581679,0.28,0.95
82,0.674700949496098,0.32,1.12,0.587810521265482,0.28,0.98
83,0.665485627056389,0.3,1.12,0.587535818587844,0.27,1
84,0.653133330920699,0.28,1.12,0.588831851810895,0.26,1.02
85,0.640461592269498,0.27,1.12,0.591911589156805,0.25,1.04
86,0.631500283909685,0.25,1.12,0.596767385324364,0.24,1.06
87,0.627155205045776,0.24,1.13,0.603072660297708,0.24,1.09
88,0.626758237057486,0.23,1.15,0.610439388099185,0.23,1.11
89,0.629329913078234,0.22,1.17,0.618546118204918,0.23,1.14
90,0.634181755993579,0.22,1.19,0.627160618843498,0.22,1.17
91,0.64055340085322,0.21,1.21,0.636113900695351,0.22,1.2
92,0.647937246568956,0.21,1.24,0.645300416200064,0.21,1.23
93,0.656149596618377,0.21,1.27,0.654655526020025,0.21,1.26
94,0.664847079667278,0.21,1.29,0.664131060971666,0.21,1.29
95,0.674024308735098,0.2,1.32,0.673703230652092,0.21,1.32
96,0.683518689668809,0.2,1.35,0.683350702993864,0.2,1.35
97,0.69315111840343,0.2,1.38,0.693063149212385,0.2,1.38
98,0.702884499570249,0.2,1.41,0.702841333543278,0.2,1.41
99,0.71268978149811,0.2,1.43,0.71268978149811,0.2,1.43
