"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
2,5.005,0.5,9.5,1.31821822997179,0.93,1.76
3,2.67413957851234,1.45,4.2,1.30821822997179,0.96,1.7
4,2.01536244641184,1.26,2.92,1.2588721367776,0.94,1.61
5,2.45834412166587,1.77,3.24,1.20302592773431,0.91,1.52
6,1.59760984482007,1.11,2.15,1.05940803847062,0.8,1.35
7,1.11412207607123,0.75,1.53,0.980420556705775,0.74,1.25
8,0.981159843245785,0.66,1.35,0.95832112966318,0.72,1.22
9,1.06293089085652,0.74,1.43,0.957025391799937,0.72,1.22
10,0.944690537541816,0.64,1.29,0.936370141221704,0.7,1.2
11,0.765056647513286,0.49,1.09,0.938607415865915,0.7,1.2
12,0.719313319357649,0.45,1.03,0.983006195217039,0.73,1.26
13,0.884989954523551,0.59,1.23,1.04867073302395,0.79,1.33
14,0.768157890911556,0.48,1.1,1.09102397593739,0.82,1.38
15,0.857368001049984,0.55,1.21,1.16572081839815,0.89,1.47
16,1.08292006089751,0.74,1.48,1.23645829776391,0.96,1.54
17,1.02790158204622,0.69,1.42,1.2734148216794,0.99,1.58
18,1.15185638605798,0.79,1.56,1.32829114086585,1.04,1.64
19,1.09772109818137,0.75,1.5,1.36946039078172,1.08,1.68
20,1.0900574821552,0.74,1.48,1.43110407645171,1.14,1.74
21,1.53017439027275,1.13,1.98,1.50899652831351,1.22,1.82
22,1.93020145148506,1.49,2.42,1.50759832663901,1.23,1.81
23,1.50777827995997,1.12,1.94,1.41266943628821,1.14,1.7
24,1.26700611241054,0.93,1.64,1.39290423161988,1.13,1.67
25,1.06844603208083,0.77,1.41,1.42977942947671,1.17,1.7
26,2.13888082729607,1.73,2.58,1.5363869138207,1.28,1.81
27,1.77702249179031,1.4,2.19,1.35555202946003,1.12,1.61
28,1.58367234239765,1.25,1.95,1.23194256863635,1.01,1.47
29,1.28885218552768,1,1.61,1.11831793488278,0.91,1.34
30,1.12747786801857,0.86,1.42,1.05939972585743,0.86,1.27
31,1.06399946033404,0.81,1.34,1.0364913602557,0.84,1.25
32,0.757494187941685,0.54,1,1.02929200129509,0.83,1.24
33,1.01576565610816,0.77,1.29,1.1406080379973,0.93,1.36
34,0.975734695011551,0.73,1.25,1.19519528759641,0.98,1.43
35,1.02263912706487,0.77,1.31,1.28435996974972,1.06,1.52
36,0.943475531231373,0.7,1.22,1.3887488456043,1.16,1.63
37,1.74055663572003,1.41,2.1,1.56220377306545,1.33,1.81
38,1.79126688860966,1.46,2.15,1.49543155674673,1.27,1.74
39,1.38693780016674,1.1,1.7,1.383431304824,1.17,1.61
40,0.9543789306239,0.73,1.21,1.38528876237353,1.17,1.61
41,0.874916018440181,0.66,1.11,1.58715423923096,1.37,1.82
42,2.14585967784237,1.82,2.49,1.94069785856949,1.7,2.19
43,2.70782741989776,2.34,3.1,1.84080353380873,1.61,2.08
44,2.05896253760428,1.76,2.38,1.41582772931294,1.23,1.62
45,1.19760138359589,0.99,1.43,1.06099047037086,0.91,1.23
46,1.25130960395814,1.05,1.47,0.973604312038094,0.83,1.13
47,0.962710175505414,0.79,1.15,0.769304151491701,0.64,0.91
48,0.5474938013185,0.41,0.7,0.628278020092362,0.51,0.75
49,0.695931860370352,0.54,0.86,0.692365923624717,0.57,0.83
50,0.452052777521201,0.33,0.6,0.693518531834949,0.56,0.83
51,0.790107927473837,0.62,0.98,0.862815487529084,0.71,1.02
52,0.790907659172955,0.61,0.99,0.913631190708741,0.76,1.08
53,0.99227978297039,0.79,1.22,0.989937439350101,0.83,1.17
54,0.978799071397524,0.77,1.21,0.992201409543295,0.83,1.17
55,1.18985173978741,0.96,1.44,1.00312439318168,0.84,1.18
56,1.09745503222712,0.88,1.34,0.902729227855599,0.75,1.07
57,0.982876428968529,0.78,1.21,0.798510345927669,0.65,0.96
58,0.73589811611056,0.56,0.93,0.69892975421259,0.56,0.85
59,0.524336510646352,0.37,0.69,0.68162698479298,0.54,0.83
60,0.817392548404776,0.63,1.03,0.774146434782746,0.63,0.93
61,0.893767131096403,0.69,1.12,0.754077325176414,0.61,0.92
62,0.933064022432667,0.72,1.17,0.687534319479373,0.54,0.84
63,0.678922620841326,0.49,0.89,0.576370308619838,0.44,0.72
64,0.702439860621001,0.51,0.91,0.533317983896319,0.4,0.68
65,0.568041456274762,0.39,0.77,0.462090218419104,0.34,0.6
66,0.416851020067575,0.26,0.6,0.42176311411501,0.29,0.57
67,0.319003223656799,0.18,0.48,0.428175433923137,0.29,0.58
68,0.404576119940223,0.25,0.59,0.47440567841166,0.33,0.64
69,0.470334117184911,0.29,0.68,0.504627423404525,0.35,0.68
70,0.40568558141658,0.23,0.62,0.52095116759243,0.35,0.71
71,0.351297177579371,0.18,0.56,0.559555238750708,0.38,0.77
72,0.353730294440601,0.18,0.57,0.620532558297269,0.42,0.84
73,0.368448050797137,0.18,0.6,0.692952838786442,0.48,0.93
74,0.53539112778494,0.3,0.82,0.773975406833112,0.55,1.03
75,0.698307508317894,0.42,1.02,0.831723950502304,0.59,1.1
76,0.791433671424,0.49,1.15,0.863796316971241,0.62,1.14
77,0.857810243861445,0.54,1.23,0.882135418545607,0.63,1.16
78,0.849465600640866,0.53,1.22,0.890863859718607,0.64,1.17
79,1.04759239015243,0.7,1.45,0.902627861476468,0.65,1.18
80,0.896382307142817,0.57,1.28,0.879632821887861,0.63,1.16
81,0.811174454553686,0.5,1.18,0.880685327592096,0.63,1.17
82,0.858833622560372,0.54,1.24,0.897629881745198,0.64,1.19
83,0.863059497109081,0.54,1.25,0.90917950576284,0.65,1.2
84,0.759576129774502,0.45,1.13,0.921918887842942,0.65,1.22
85,0.849502587119948,0.52,1.24,0.954519114128823,0.68,1.26
86,0.881711223737175,0.54,1.28,0.977091012391381,0.7,1.29
87,1.03177742638737,0.66,1.46,0.99742942326131,0.71,1.31
88,0.975026569492847,0.61,1.4,0.996006489939808,0.71,1.32
89,0.848478077595345,0.5,1.26,1.00357298476054,0.72,1.33
90,0.805916406858177,0.47,1.21,1.03240898805816,0.74,1.36
91,1.16179408249922,0.76,1.62,1.07266126547946,0.78,1.4
92,1.2928952687266,0.87,1.78,1.06254997841689,0.76,1.4
93,1.11360277439015,0.71,1.58,1.03084132617877,0.73,1.37
94,1.05316976640136,0.67,1.5,1.02239999668379,0.72,1.36
95,1.07260186354079,0.69,1.51,1.02227509653315,0.71,1.37
96,1.16200340565074,0.77,1.62,1.01940347313473,0.7,1.38
