"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
1,5.005,0.5,9.5,1.27366841576171,0.84,1.77
2,0.714578557812701,0.13,1.69,1.26366841576173,0.87,1.71
3,1.40213893554126,0.7,2.3,1.27946417345046,0.91,1.7
4,1.16660452385482,0.62,1.85,1.27469921256273,0.93,1.66
5,1.21788252359614,0.72,1.82,1.2859875621747,0.95,1.66
6,1.23988557252337,0.78,1.79,1.29610809874327,0.98,1.65
7,1.38015876516612,0.92,1.91,1.30639380801853,1,1.65
8,1.33621157956114,0.9,1.83,1.29878504423322,1,1.63
9,1.33210306496981,0.92,1.8,1.29593581478048,1.01,1.61
10,1.51463810197331,1.09,1.99,1.29275120819708,1.01,1.6
11,1.48064798138377,1.07,1.94,1.25291821795601,0.98,1.55
12,1.23247017339741,0.87,1.64,1.20948232611687,0.94,1.5
13,1.07730304427189,0.74,1.45,1.20795968435675,0.95,1.49
14,1.27037875790569,0.92,1.66,1.24173774571898,0.98,1.53
15,1.14900624044553,0.81,1.53,1.23853153888402,0.98,1.52
16,1.24128364816047,0.9,1.63,1.2638881493557,1,1.55
17,1.22437632592187,0.88,1.6,1.27321443225037,1.01,1.55
18,1.19756735125255,0.86,1.57,1.28924493886992,1.03,1.57
19,1.12878507718958,0.81,1.49,1.31663572935844,1.06,1.6
20,1.44188222792335,1.09,1.83,1.36996777457008,1.11,1.65
21,1.26992030528014,0.94,1.64,1.3537874443257,1.1,1.63
22,1.34554068773715,1.01,1.72,1.38031938493149,1.13,1.65
23,1.38068287091296,1.05,1.75,1.39387231171111,1.14,1.66
24,1.44705594091079,1.11,1.81,1.40129858974929,1.16,1.66
25,1.52029140906341,1.18,1.89,1.39036184135067,1.15,1.65
26,1.38078656395287,1.07,1.72,1.35123069308228,1.12,1.6
27,1.30366038926781,1.01,1.63,1.34452171455879,1.12,1.59
28,1.3170308963385,1.03,1.64,1.36278229413674,1.14,1.6
29,1.39283891494888,1.1,1.71,1.38368387892541,1.16,1.62
30,1.34577019242563,1.06,1.66,1.38353599410957,1.16,1.62
31,1.56244814512232,1.26,1.89,1.402246368212,1.19,1.63
32,1.41253314657473,1.13,1.72,1.33744757101939,1.13,1.56
33,1.30637171114216,1.04,1.59,1.30772371914394,1.11,1.52
34,1.41711273492289,1.15,1.7,1.31171509762948,1.11,1.52
35,1.3488351074997,1.09,1.63,1.26302043771133,1.07,1.47
36,1.17698168653659,0.94,1.43,1.22272300810674,1.04,1.42
37,1.21650208117644,0.98,1.47,1.25036168979324,1.06,1.45
38,1.21887828130066,0.99,1.47,1.27258920818102,1.09,1.47
39,1.34572425075533,1.1,1.61,1.30641028117625,1.12,1.5
40,1.37745997704948,1.14,1.64,1.28710081407884,1.11,1.48
41,1.22137535433875,1,1.46,1.23701218136451,1.06,1.42
42,1.23878255721887,1.02,1.47,1.24998230645497,1.08,1.43
43,1.18906038988874,0.98,1.42,1.2606136368929,1.09,1.44
44,1.32244538154704,1.1,1.56,1.31158979312411,1.14,1.5
45,1.31782882639528,1.1,1.55,1.30755574418998,1.14,1.49
46,1.33075724150766,1.12,1.56,1.3037169288369,1.13,1.48
47,1.31106181718842,1.1,1.53,1.28740254276901,1.12,1.46
48,1.32773650861342,1.12,1.55,1.27278586750768,1.11,1.44
49,1.41056492138707,1.2,1.63,1.23266463244254,1.08,1.4
50,1.2333712699705,1.04,1.44,1.08973005307348,0.95,1.24
51,1.01561147221558,0.85,1.2,0.970125243619273,0.84,1.11
52,0.919835422934154,0.76,1.09,0.932753016174966,0.8,1.07
53,0.950736296537204,0.79,1.12,0.94797402200002,0.82,1.09
54,0.996934092822635,0.83,1.18,0.948865386581228,0.82,1.09
55,0.915442462068617,0.75,1.09,0.909499311518463,0.78,1.05
56,0.896747992650077,0.74,1.07,0.907682667974071,0.78,1.05
