"day","R_filt","R_filt_lower_bound","R_filt_upper_bound","R_smooth","R_smooth_lower_bound","R_smooth_upper_bound"
1,5.005,0.5,9.5,1.3136094810592,0.88,1.81
2,1.42783734376634,0.49,2.77,1.30360948105921,0.91,1.75
3,1.3756875250551,0.68,2.26,1.30127397048138,0.93,1.72
4,1.23797431161747,0.68,1.92,1.29910020593029,0.95,1.69
5,1.07156713360469,0.61,1.63,1.30681736777369,0.98,1.67
6,1.42769861763735,0.94,2,1.33528491583235,1.02,1.69
7,1.46077292528613,0.99,2,1.32620047119588,1.02,1.66
8,1.49531668148603,1.04,2.01,1.30927259559776,1.01,1.63
9,1.42198306582519,1,1.9,1.28136527320795,1,1.59
10,1.4395204481472,1.03,1.9,1.25865955113682,0.98,1.56
11,1.20620998976055,0.84,1.62,1.22550363732051,0.95,1.52
12,1.0699371050235,0.74,1.45,1.23319802257774,0.97,1.52
13,1.15470536608929,0.81,1.54,1.27392097085634,1.01,1.57
14,1.2369498318375,0.89,1.63,1.30600484682114,1.04,1.6
15,1.20967961853181,0.86,1.6,1.32632268060536,1.06,1.62
16,1.24897128912745,0.9,1.64,1.35814751170754,1.09,1.65
17,1.30468531061989,0.95,1.7,1.38888044814966,1.12,1.68
18,1.29179256952576,0.95,1.68,1.41398166492821,1.15,1.7
19,1.48137299970338,1.12,1.88,1.44955563355821,1.19,1.73
20,1.45043543816276,1.1,1.84,1.44426561563081,1.19,1.72
21,1.48245305555746,1.14,1.86,1.44585492703268,1.19,1.72
22,1.71587648103547,1.35,2.11,1.43821805203464,1.19,1.7
23,1.49559652813739,1.16,1.86,1.35341595282528,1.12,1.6
24,1.36975839874674,1.06,1.7,1.30962144198383,1.08,1.55
25,1.31858530293158,1.03,1.64,1.29154922070747,1.07,1.53
26,1.22837330354312,0.95,1.53,1.28476477206164,1.07,1.52
27,1.30872948145886,1.03,1.62,1.31045699805788,1.1,1.54
28,1.37590362469223,1.09,1.69,1.31466912020473,1.1,1.54
29,1.32117081899834,1.05,1.62,1.29264894868487,1.08,1.52
30,1.22803521598461,0.97,1.51,1.2839082058605,1.08,1.5
31,1.23641914239807,0.98,1.52,1.31225395778751,1.11,1.53
32,1.35917244382455,1.09,1.65,1.35097121422387,1.15,1.57
33,1.21156543339353,0.96,1.48,1.35054307440595,1.15,1.57
34,1.40537635911864,1.14,1.69,1.42172867577288,1.22,1.64
35,1.48205587937844,1.22,1.77,1.43351813040579,1.23,1.65
36,1.51258195071216,1.25,1.79,1.41129425044822,1.22,1.62
37,1.39764587142832,1.15,1.66,1.35880435644531,1.17,1.56
38,1.28211690722618,1.05,1.53,1.33945784671401,1.16,1.53
39,1.32950575826537,1.1,1.57,1.3784199333249,1.2,1.57
40,1.3218309493577,1.1,1.56,1.41375625965332,1.23,1.61
41,1.42976946483796,1.2,1.67,1.47911689968759,1.3,1.67
42,1.66388691897819,1.42,1.92,1.51699629752435,1.34,1.71
43,1.44995583706155,1.23,1.68,1.41278663322996,1.24,1.59
44,1.43963359935369,1.23,1.66,1.38728633096976,1.22,1.56
45,1.30270989347637,1.11,1.51,1.34668549647941,1.19,1.51
46,1.40273449645252,1.21,1.61,1.38903948824019,1.23,1.55
47,1.4136586192098,1.22,1.62,1.37951943559868,1.22,1.54
48,1.45287217838477,1.26,1.65,1.34961524796271,1.2,1.51
49,1.36066954085095,1.18,1.55,1.24731655532317,1.11,1.4
50,1.32344784320544,1.15,1.51,1.12771139894432,1,1.27
51,0.954506165390019,0.81,1.11,0.904747903131541,0.79,1.03
52,0.811802104764262,0.68,0.95,0.847931904591918,0.74,0.96
53,0.92285672509703,0.78,1.07,0.895705265260374,0.78,1.02
54,0.85086688933155,0.72,1,0.866350697097319,0.75,0.99
55,0.893051189422056,0.75,1.04,0.887717258980191,0.77,1.01
56,0.927633396017557,0.78,1.08,0.885006826945423,0.77,1.01
57,0.863906451999612,0.72,1.02,0.84101866816714,0.73,0.96
58,0.89767101405567,0.75,1.05,0.819339203872391,0.7,0.94
59,0.786428682993844,0.65,0.93,0.73835249658223,0.63,0.85
60,0.658278086177723,0.53,0.79,0.690890195707674,0.58,0.81
61,0.705384935172066,0.57,0.85,0.728049506801921,0.62,0.85
62,0.753367912144145,0.61,0.91,0.754007419255709,0.64,0.88
63,0.707057677917706,0.57,0.86,0.758088274900967,0.64,0.89
64,0.806208273774765,0.65,0.97,0.807105662829027,0.68,0.94
65,0.873001965778137,0.71,1.05,0.811360966347934,0.68,0.95
66,0.736828362510622,0.59,0.9,0.76440446697313,0.64,0.9
67,0.758797937551369,0.6,0.93,0.789850430810573,0.66,0.93
68,0.780558236579871,0.62,0.96,0.817658318651364,0.68,0.96
69,0.788121855152171,0.62,0.97,0.849242025291059,0.71,1
70,0.89555436892848,0.72,1.09,0.897221327942709,0.75,1.05
71,0.98979691506654,0.8,1.2,0.901924297807514,0.76,1.06
72,0.944351477043932,0.76,1.15,0.845751954516348,0.71,1
73,0.778099118141238,0.61,0.96,0.7836081272355,0.65,0.93
74,0.82337778408173,0.65,1.01,0.790787005777185,0.65,0.94
75,0.750596963822765,0.58,0.94,0.772841355326786,0.63,0.92
76,0.706875762000262,0.54,0.89,0.790741583113837,0.65,0.94
77,0.899611508809082,0.71,1.11,0.846489077237431,0.7,1.01
78,0.85760822706357,0.67,1.07,0.818398679327518,0.67,0.98
79,0.813991949350734,0.63,1.02,0.799726681207694,0.65,0.96
80,0.847168182602341,0.65,1.06,0.795419968465824,0.65,0.96
81,0.753286137925839,0.57,0.96,0.770819433698496,0.62,0.93
82,0.722732743978784,0.54,0.93,0.783880154467304,0.63,0.95
83,0.721114099498227,0.54,0.93,0.819532753922602,0.66,0.99
84,0.885272565091707,0.68,1.12,0.873070424446791,0.71,1.05
85,0.89044105281816,0.68,1.13,0.870912410417943,0.7,1.05
86,0.936561925162063,0.71,1.18,0.865545526415021,0.7,1.05
87,0.834661171035724,0.62,1.07,0.83705142640254,0.67,1.02
88,0.880803779053502,0.66,1.12,0.841741463212648,0.68,1.02
89,1.01775061251276,0.78,1.28,0.828055308739035,0.66,1.01
90,0.913309351634631,0.69,1.16,0.74996752122578,0.59,0.92
91,0.73848646662432,0.53,0.97,0.685891923220629,0.53,0.86
92,0.722591442387923,0.52,0.95,0.66804632705302,0.51,0.84
93,0.711903757276466,0.51,0.94,0.649715952674113,0.49,0.82
94,0.620078662859491,0.42,0.84,0.629419564790536,0.47,0.81
95,0.67608536578409,0.47,0.91,0.637048754780493,0.47,0.82
96,0.740229997557429,0.52,0.99,0.627532780959169,0.46,0.82
97,0.713452196213367,0.49,0.97,0.594936479790575,0.42,0.79
98,0.600125080553326,0.39,0.85,0.563910076848984,0.38,0.77
99,0.586933413680854,0.37,0.84,0.559443058252942,0.37,0.78
100,0.559480376524618,0.35,0.81,0.559480376524618,0.35,0.81
