day,cases,Rt
1,2.0,1.3
2,3.0,1.3
3,4.0,1.3
4,3.0,1.3
5,2.0,1.3
6,8.0,1.3
7,5.0,1.3
8,6.0,1.3
9,5.0,1.3
10,7.0,1.3
11,2.0,1.3
12,3.0,1.3
13,7.0,1.3
14,7.0,1.3
15,5.0,1.3
16,7.0,1.3
17,8.0,1.3
18,7.0,1.3
19,13.0,1.3
20,9.0,1.3
21,12.0,1.3
22,20.0,1.3
23,9.0,1.3
24,12.0,1.3
25,14.0,1.3
26,12.0,1.3
27,18.0,1.3
28,19.0,1.3
29,16.0,1.3
30,15.0,1.3
31,19.0,1.3
32,25.0,1.3
33,15.0,1.3
34,31.0,1.3
35,30.0,1.3
36,32.0,1.3
37,28.0,1.3
38,28.0,1.3
39,37.0,1.3
40,36.0,1.3
41,46.0,1.3
42,62.0,1.3
43,42.0,1.3
44,57.0,1.3
45,50.0,1.3
46,69.0,1.3
47,69.0,1.3
48,78.0,1.3
49,73.0,1.3
50,80.0,1.3
51,43.0,0.8
52,47.0,0.8
53,66.0,0.8
54,48.0,0.8
55,55.0,0.8
56,55.0,0.8
57,45.0,0.8
58,51.0,0.8
59,36.0,0.8
60,27.0,0.8
61,36.0,0.8
62,35.0,0.8
63,26.0,0.8
64,35.0,0.8
65,34.0,0.8
66,19.0,0.8
67,26.0,0.8
68,25.0,0.8
69,23.0,0.8
70,29.0,0.8
71,30.0,0.8
72,23.0,0.8
73,14.0,0.8
74,23.0,0.8
75,15.0,0.8
76,14.0,0.8
77,26.0,0.8
78,15.0,0.8
79,14.0,0.8
80,17.0,0.8
81,10.0,0.8
82,11.0,0.8
83,11.0,0.8
84,18.0,0.8
85,12.0,0.8
86,14.0,0.8
87,8.0,0.8
88,13.0,0.8
89,17.0,0.8
90,8.0,0.8
91,4.0,0.8
92,8.0,0.8
93,7.0,0.8
94,3.0,0.8
95,7.0,0.8
96,7.0,0.8
97,4.0,0.8
98,1.0,0.8
99,3.0,0.8
100,2.0,0.8
