day,cases,Rt
1,14.0,2.5
2,12.0,2.5
3,10.0,2.5
4,10.0,2.5
5,7.0,2.5
6,15.0,2.5
7,14.0,2.5
8,16.0,2.5
9,15.0,2.5
10,16.0,2.5
11,22.0,2.5
12,20.0,2.5
13,22.0,2.5
14,20.0,2.5
15,20.0,2.5
16,22.0,2.5
17,35.0,2.5
18,27.0,2.5
19,18.0,2.5
20,33.0,2.5
21,28.0,2.5
22,40.0,2.5
23,44.0,2.5
24,40.0,2.5
25,43.0,2.5
26,47.0,2.5
27,54.0,2.5
28,63.0,2.5
29,43.0,2.5
30,58.0,2.5
31,57.0,2.5
32,88.0,2.5
33,84.0,2.5
34,71.0,2.5
35,90.0,2.5
36,98.0,2.5
37,88.0,2.5
38,83.0,2.5
39,128.0,2.5
40,101.0,2.5
41,144.0,2.5
42,140.0,2.5
43,140.0,2.5
44,172.0,2.5
45,149.0,2.5
46,181.0,2.5
47,189.0,2.5
48,208.0,2.5
49,213.0,2.5
50,226.0,2.5
51,46.0,0.5
52,46.0,0.5
53,57.0,0.5
54,63.0,0.5
55,58.0,0.5
56,49.0,0.5
57,70.0,0.5
58,66.0,0.5
59,46.0,0.5
60,53.0,0.5
61,66.0,0.5
62,64.0,0.5
63,55.0,0.5
64,66.0,0.5
65,51.0,0.5
66,50.0,0.5
67,37.0,0.5
68,33.0,0.5
69,64.0,0.5
70,46.0,0.5
71,46.0,0.5
72,35.0,0.5
73,34.0,0.5
74,31.0,0.5
75,40.0,0.5
76,34.0,0.5
77,34.0,0.5
78,34.0,0.5
79,29.0,0.5
80,35.0,0.5
81,34.0,0.5
82,26.0,0.5
83,19.0,0.5
84,23.0,0.5
85,26.0,0.5
86,25.0,0.5
87,17.0,0.5
88,18.0,0.5
89,22.0,0.5
90,28.0,0.5
91,13.0,0.5
92,15.0,0.5
93,16.0,0.5
94,16.0,0.5
95,18.0,0.5
96,17.0,0.5
97,18.0,0.5
98,16.0,0.5
99,12.0,0.5
100,14.0,0.5
101,13.0,0.5
102,14.0,0.5
103,13.0,0.5
104,16.0,0.5
105,11.0,0.5
106,11.0,0.5
107,6.0,0.5
108,13.0,0.5
109,9.0,0.5
110,9.0,0.5
111,6.0,0.5
112,9.0,0.5
113,3.0,0.5
114,8.0,0.5
115,10.0,0.5
116,2.0,0.5
117,2.0,0.5
118,6.0,0.5
119,13.0,0.5
120,10.0,0.5
121,6.0,0.5
122,3.0,0.5
123,3.0,0.5
124,6.0,0.5
125,4.0,0.5
126,6.0,0.5
127,3.0,0.5
128,4.0,0.5
129,5.0,0.5
130,1.0,0.5
131,2.0,0.5
132,3.0,0.5
133,4.0,0.5
134,2.0,0.5
135,2.0,0.5
136,4.0,0.5
137,6.0,0.5
138,2.0,0.5
139,1.0,0.5
140,5.0,0.5
141,1.0,0.5
142,2.0,0.5
143,1.0,0.5
144,0.0,0.5
145,1.0,0.5
146,2.0,0.5
147,0.0,0.5
148,2.0,0.5
149,1.0,0.5
150,1.0,0.5
151,0.0,0.5
152,1.0,0.5
153,3.0,0.5
154,2.0,0.5
155,1.0,0.5
156,1.0,0.5
157,1.0,0.5
158,1.0,0.5
159,2.0,0.5
160,1.0,0.5
161,0.0,0.5
162,0.0,0.5
163,1.0,0.5
164,1.0,0.5
165,0.0,0.5
166,1.0,0.5
167,2.0,0.5
168,0.0,0.5
169,0.0,0.5
170,1.0,0.5
171,0.0,0.5
172,2.0,0.5
173,0.0,0.5
174,0.0,0.5
175,1.0,0.5
176,1.0,0.5
177,1.0,0.5
178,1.0,0.5
179,0.0,0.5
180,1.0,0.5
181,2.0,0.5
182,0.0,0.5
183,0.0,0.5
184,0.0,0.5
185,0.0,0.5
186,0.0,0.5
187,0.0,0.5
188,1.0,0.5
189,2.0,0.5
190,0.0,0.5
191,1.0,0.5
192,0.0,0.5
193,0.0,0.5
194,1.0,0.5
195,0.0,0.5
196,0.0,0.5
197,1.0,0.5
198,1.0,0.5
199,0.0,0.5
200,0.0,0.5
201,0.0,0.5
202,1.0,0.5
