day,cases,Rt
1,4.0,1.5
2,1.0,1.5
3,5.0,1.5
4,5.0,1.5
5,8.0,1.5
6,7.0,1.5
7,10.0,1.5
8,8.0,1.5
9,3.0,1.5
10,11.0,1.5
11,7.0,1.5
12,12.0,1.5
13,14.0,1.5
14,12.0,1.5
15,10.0,1.5
16,16.0,1.5
17,19.0,1.5
18,23.0,1.5
19,12.0,1.5
20,21.0,1.5
21,19.0,1.5
22,36.0,1.5
23,33.0,1.5
24,35.0,1.5
25,41.0,1.5
26,36.0,1.5
27,32.0,1.5
28,60.0,1.5
29,40.0,1.5
30,69.0,1.5
31,59.0,1.5
32,82.0,1.5
33,67.0,1.5
34,90.0,1.5
35,95.0,1.5
36,108.0,1.5
37,113.0,1.5
38,123.0,1.5
39,128.0,1.5
40,154.0,1.5
41,172.0,1.5
42,169.0,1.4285714285714286
43,160.0,1.3571428571428572
44,199.0,1.2857142857142858
45,193.0,1.2142857142857144
46,160.0,1.1428571428571428
47,171.0,1.0714285714285714
48,185.0,1.0
49,173.0,0.9285714285714286
50,149.0,0.8571428571428572
51,157.0,0.7857142857142858
52,121.0,0.7142857142857143
53,106.0,0.6428571428571429
54,74.0,0.5714285714285715
55,54.0,0.5
56,66.0,0.5
57,59.0,0.5
58,41.0,0.5
59,36.0,0.5
60,30.0,0.5
61,35.0,0.5
62,26.0,0.5
63,24.0,0.5
64,19.0,0.5
65,23.0,0.5
66,20.0,0.5
67,13.0,0.5
68,8.0,0.5
69,10.0,0.5
70,10.0,0.5
71,6.0,0.5
72,6.0,0.5
73,9.0,0.5
74,7.0,0.5
75,2.0,0.5
