day,cases,Rt
1,2.0,1.2716540416422744
2,1.0,1.3096079798349913
3,6.0,1.3374138444092631
4,2.0,1.2911154425709388
5,4.0,1.280311661476783
6,4.0,1.2885140273068179
7,6.0,1.298520780713126
8,4.0,1.2911456624685216
9,5.0,1.2816119236315824
10,9.0,1.2704015028408098
11,6.0,1.3059723533535483
12,2.0,1.2852519934483824
13,3.0,1.263985372037946
14,10.0,1.319342577712263
15,3.0,1.2743008167422742
16,8.0,1.297725343757369
17,6.0,1.3123000750685436
18,6.0,1.3106168050346965
19,5.0,1.332076220384381
20,15.0,1.3078996613532483
21,4.0,1.289797944947757
22,11.0,1.2983013101666367
23,11.0,1.2761893335453223
24,13.0,1.2972330649388943
25,15.0,1.3142648573240607
26,10.0,1.322885504290361
27,12.0,1.258266487313806
28,15.0,1.312067841107929
29,18.0,1.292238183235687
30,15.0,1.3598672432653298
31,27.0,1.3387732729693878
32,16.0,1.2838383705770102
33,18.0,1.2767765690910575
34,28.0,1.258625596380081
35,22.0,1.3087548125760788
36,17.0,1.2964560871098874
37,26.0,1.3130270446833041
38,25.0,1.2994774783932608
39,33.0,1.25640390128669
40,32.0,1.28002102810955
41,24.0,1.267410739238195
42,33.0,1.304452625038207
43,30.0,1.2916399409296275
44,42.0,1.292349321753863
45,38.0,1.291689860641435
46,42.0,1.3490736834951755
47,43.0,1.3179810623112558
48,48.0,1.32857216277709
49,57.0,1.3520719242255022
50,42.0,1.267883806174135
51,34.0,0.8134531902462826
52,36.0,0.7988865148092729
53,42.0,0.8649291092893981
54,43.0,0.7985433429574141
55,33.0,0.776367825101496
56,35.0,0.8135293097201474
57,37.0,0.7986247778298184
58,37.0,0.8280005202164686
59,38.0,0.7952089262420481
60,28.0,0.7847465394531815
61,32.0,0.7888855286925041
62,26.0,0.7448997675625704
63,25.0,0.7892332379065617
64,22.0,0.7893726635383697
65,28.0,0.803682299828964
66,32.0,0.8106231068064923
67,22.0,0.808681443599353
68,14.0,0.7930941113658954
69,30.0,0.7699426094313035
70,21.0,0.8257755825873708
71,19.0,0.8180829737918918
72,15.0,0.8358194681282981
73,13.0,0.8152376716535974
74,21.0,0.7853961113982683
75,18.0,0.7960531256330615
76,14.0,0.7909261708838745
77,11.0,0.8067017163714477
78,12.0,0.8155496855317445
79,16.0,0.8059542341515676
80,10.0,0.7812704110265084
81,12.0,0.7930254637495392
82,9.0,0.8175405536767527
83,9.0,0.8149836132576647
84,7.0,0.8053851924200273
85,11.0,0.8324966664694529
86,4.0,0.7849091499437448
87,10.0,0.8063060951843726
88,3.0,0.8207879198056101
89,4.0,0.7907702825840623
90,5.0,0.7742515959839035
91,1.0,0.7838104440270325
92,8.0,0.8537316776387613
93,4.0,0.7465744138185085
94,7.0,0.8116604733570079
95,3.0,0.792278635406049
96,3.0,0.8525780611841277
97,5.0,0.7737400669212937
98,6.0,0.7968221591451077
99,4.0,0.7603967362383587
100,6.0,0.7847231390271019
