day,cases,Rt
1,2.0,1.1866161665690969
2,1.0,1.3384319193399647
3,6.0,1.4496553776370522
4,2.0,1.2644617702837546
5,4.0,1.2212466459071318
6,4.0,1.2540561092272717
7,6.0,1.294083122852504
8,4.0,1.2645826498740864
9,5.0,1.2264476945263296
10,9.0,1.181606011363239
11,6.0,1.3238894134141934
12,2.0,1.2410079737935291
13,3.0,1.1559414881517833
14,10.0,1.3773703108490516
15,3.0,1.1972032669690966
16,8.0,1.2909013750294764
17,6.0,1.3492003002741744
18,6.0,1.3424672201387855
19,5.0,1.4283048815375237
20,15.0,1.3315986454129933
21,4.0,1.2591917797910284
22,11.0,1.2932052406665466
23,11.0,1.2047573341812887
24,13.0,1.288932259755577
25,16.0,1.3570594292962426
26,11.0,1.3915420171614434
27,11.0,1.1330659492552246
28,16.0,1.3482713644317157
29,18.0,1.2689527329427484
30,18.0,1.5394689730613191
31,17.0,1.4550930918775509
32,15.0,1.2353534823080405
33,24.0,1.2071062763642297
34,17.0,1.134502385520324
35,22.0,1.3350192503043152
36,21.0,1.285824348439549
37,31.0,1.3521081787332163
38,28.0,1.2979099135730434
39,18.0,1.12561560514676
40,27.0,1.2200841124382005
41,23.0,1.1696429569527798
42,32.0,1.3178105001528277
43,30.0,1.26655976371851
44,31.0,1.269397287015452
45,35.0,1.2667594425657398
46,47.0,1.4962947339807018
47,33.0,1.3719242492450228
48,30.0,1.4142886511083592
49,50.0,1.5082876969020083
50,41.0,1.17153522469654
51,35.0,0.85381276098513
52,40.0,0.7955460592370912
53,52.0,1.0597164371575922
54,32.0,0.7941733718296562
55,30.0,0.705471300405984
56,39.0,0.8541172388805895
57,36.0,0.7944991113192735
58,39.0,0.9120020808658746
59,37.0,0.780835704968192
60,26.0,0.7389861578127257
61,30.0,0.7555421147700163
62,20.0,0.5795990702502815
63,23.0,0.7569329516262467
64,20.0,0.7574906541534786
65,26.0,0.8147291993158559
66,31.0,0.8424924272259692
67,20.0,0.834725774397412
68,13.0,0.7723764454635815
69,25.0,0.6797704377252138
70,22.0,0.9031023303494834
71,18.0,0.8723318951675669
72,16.0,0.9432778725131924
73,13.0,0.8609506866143896
74,19.0,0.7415844455930728
75,18.0,0.7842125025322461
76,13.0,0.7637046835354981
77,10.0,0.8268068654857909
78,12.0,0.8621987421269776
79,15.0,0.8238169366062706
80,9.0,0.7250816441060337
81,11.0,0.7721018549981568
82,9.0,0.8701622147070105
83,8.0,0.8599344530306583
84,7.0,0.8215407696801089
85,12.0,0.9299866658778112
86,3.0,0.7396365997749791
87,10.0,0.8252243807374902
88,3.0,0.88315167922244
89,4.0,0.7630811303362492
90,5.0,0.6970063839356136
91,1.0,0.7352417761081298
92,10.0,1.0149267105550452
93,4.0,0.5862976552740339
94,6.0,0.8466418934280311
95,5.0,0.7691145416241962
96,8.0,1.0103122447365107
97,5.0,0.6949602676851749
98,6.0,0.7872886365804304
99,3.0,0.6415869449534345
100,6.0,0.7388925561084073
