day,cases,Rt
1,2.0,1.2
2,3.0,1.398669330795061
3,4.0,1.5894183423086505
4,4.0,1.7646424733950354
5,8.0,1.9173560908995229
6,3.0,2.0414709848078965
7,12.0,2.1320390859672265
8,14.0,2.18544972998846
9,17.0,2.199573603041505
10,29.0,2.1738476308781953
11,20.0,2.1092974268256817
12,15.0,2.0084964038195903
13,24.0,1.8754631805511506
14,25.0,1.715501371821464
15,23.0,1.5349881501559046
16,21.0,1.341120008059867
17,24.0,1.1416258565724198
18,23.0,0.9444588979731683
19,18.0,0.7574795567051475
20,22.0,0.5881421090572807
21,10.0,0.44319750469207175
22,7.0,0.32842422758641177
23,6.0,0.24839792611048395
24,2.0,0.20630899636653544
25,4.0,0.20383539116415939
26,2.0,0.2410757253368615
27,4.0,0.3165453442798468
28,4.0,0.4272355124440128
29,4.0,0.5687333621276791
30,2.0,0.7353978205862434
31,4.0,0.9205845018010741
32,5.0,1.1169105971825035
33,2.0,1.3165492048504936
34,5.0,1.5115413635133788
35,7.0,1.6941133511386088
36,9.0,1.856986598718789
37,6.0,1.993667863849153
38,10.0,2.098708095811627
39,15.0,2.1679196720314864
40,15.0,2.198543345374605
41,25.0,2.1893582466233816
42,39.0,2.1407305566797725
43,26.0,2.0545989080882805
44,42.0,1.9343970978741134
45,36.0,1.7849171928917618
46,52.0,1.6121184852417565
47,49.0,1.4228899141002458
48,51.0,1.2247754254533578
49,39.0,1.0256732187770186
50,35.0,0.8335208707480716
51,21.0,0.6559788891106302
52,16.0,0.5001253124064563
53,20.0,0.37217353091434624
54,10.0,0.2772245783871926
55,4.0,0.2190637699335084
56,2.0,0.20000979344929648
57,5.0,0.220822270848683
58,0.0,0.28067147433532424
59,7.0,0.3771714050312921
60,7.0,0.5064749152228776
61,2.0,0.663427081999565
62,6.0,0.8417707177631729
63,9.0,1.0343958245516904
64,9.0,1.2336230472211385
65,9.0,1.4315098251015388
66,8.0,1.6201670368266408
67,16.0,1.7920735147072244
68,24.0,1.9403758899524486
69,17.0,2.0591618148564965
70,16.0,2.1436956694441047
71,38.0,2.1906073556948704
72,43.0,2.1980266527163614
73,43.0,2.1656577765492773
74,48.0,2.0947911721405035
75,59.0,1.9882520673753161
76,57.0,1.8502878401571168
77,72.0,1.686398688853798
78,61.0,1.5031183567457023
79,64.0,1.3077536522994422
80,71.0,1.1080931497723183
81,48.0,0.9120966833349347
82,53.0,0.7275780136015337
83,32.0,0.5618933176520498
84,26.0,0.4216479214657015
85,19.0,0.3124329664184954
86,11.0,0.23860250812044315
87,3.0,0.20309993395840387
88,5.0,0.20734061952936722
89,4.0,0.251155502081876
90,11.0,0.33279782051441864
91,10.0,0.4490127532283239
92,8.0,0.5951671775937158
93,5.0,0.7654343779281064
94,10.0,0.953026338263379
95,12.0,1.1504643591216326
96,5.0,1.3498772096629523
97,12.0,1.5433149288198986
98,16.0,1.7230657651576995
99,22.0,1.8819636200681356
100,30.0,2.0136737375071054
